product_name,product_url,image_url,current_price,original_price,discount_percentage,discount_amount,brand,category,product_type
Bowers & Wilkins Pi8 In-Ear True Wireless Earbuds - Dove White,https://www.harveynorman.com.sg/tv-and-audio/headphones-en/wireless-headphones-en/bowers-and-wilkins-pi8-in-ear-true-wireless-earbuds-dove-white.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Bowers_&_Wilkins_Pi8_In-Ear_True_Wireless_Earbuds_-_Dove_White.jpg?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",639.0,699.0,8.58,60.0,Bowers,Audio,earbuds
Bowers & Wilkins Pi8 In-Ear True Wireless Earbuds - Midnight Blue,https://www.harveynorman.com.sg/tv-and-audio/headphones-en/wireless-headphones-en/bowers-and-wilkins-pi8-in-ear-true-wireless-earbuds-midnight-blue.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Bowers_&_Wilkins_Pi8_In-Ear_True_Wireless_Earbuds_-_Midnight_Blue.jpg?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",635.0,699.0,9.16,64.0,Bowers,Audio,earbuds
Samsung S24FE Silicone Case - Grey (PS721CJE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-silicone-case-grey-ps721cje.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_kb0r-21.JPG?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",48.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Silicone Case - Yellow (PS721CYE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-silicone-case-yellow-ps721cye.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_8isd-99.JPG?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",48.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Silicone Case - Mint (PS721CME),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-silicone-case-mint-ps721cme.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_oot2-i4.JPG?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",48.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Silicone Case - Blue (PS721CLE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-silicone-case-blue-ps721cle.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_n1je-15.JPG?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",48.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Silicone Case - Black (PS721CBE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-silicone-case-black-ps721cbe.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_rwop-yt.JPG?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",48.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Standing Grip Case - Grey (GS721CJE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-standing-grip-case-grey-gs721cje.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide3_15tx-4q.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",68.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Standing Grip Case - Yellow (GS721CYE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-standing-grip-case-yellow-gs721cye.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide3_cxe5-sa.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",68.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Flip Suit Case - Yellow (MS721CYE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-flip-suit-case-yellow-ms721cye.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide4_btpl-bm.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",58.0,0.0,0.0,0.0,Samsung,Accessories,case
