product_name,current_price,original_price,discount_percentage,discount_amount,brand,category,product_type
SAMSUNG 325L 2 DOOR FRIDGE RB34T6054B1/SS SPACEMAX™ (BOTTOM MOUNT FREEZER),1418.0,1433.0,1.05,15.0,SAMSUNG,Refrigerator,fridge
SAMSUNG RB45DG600EB1SS BOTTOM FREEZER FRIDGE (458L),1434.0,1483.0,3.3,49.0,SAMSUNG,Refrigerator,fridge
SONY K-50S30 50IN BRAVIA 4K HDR TRILUMINOS PRO TV,1398.0,1599.0,12.57,201.0,SONY,TV,tv
SONY 65 INCH X75K 4K TV,1447.0,2039.0,29.03,592.0,SONY,TV,tv
LG FV1410H3BA FRONT LOAD WASHER AND DRYER (10/6KG),1838.0,2618.0,29.79,780.0,LG,Washing Machine,washer
LG 408L 2 DOOR FRIDGE WITH SMART INVERTER COMPRESSOR GB-B4059PZ (BOTTOM FREEZER),1348.0,1864.0,27.68,516.0,LG,Refrigerator,fridge
ELECTROLUX EDH803J5SC HEAT PUMP DRYER (8KG)/ULTIMATECARE 500,1435.0,1679.0,14.53,244.0,ELECTROLUX,Washing Machine,dryer
LG 65QNED80TSA.ATC 65 IN QNED AI THINQ AI SMART TV,1398.0,1999.0,30.07,601.0,LG,TV,tv
DELONGHI ECAM290.81.TB FULLY AUTOMATIC COFFEE MACHINES - MAGNIFICA EVO MILK TITANIUM,1287.0,1499.0,14.14,212.0,DELONGHI,Kitchen Appliance,coffee
ROBOROCK S8 MAXV ULTRA BLACK ROBOTIC WET AND DRY VACUUM - BLACK,1398.0,1699.9,17.76,301.9000000000001,ROBOROCK,Small Appliance,vacuum
SAMSUNG WW95BB944DGBSP FRONT LOAD WASHER (9.5KG),1497.0,1513.0,1.06,16.0,SAMSUNG,Washing Machine,washer
SHARP ES-FW105D7PS FRONT LOAD WASHER AND DRYER (10.5KG/7KG),1511.0,1610.0,6.15,99.0,SHARP,Washing Machine,washer
SHARP SJ-PG51P2-DS 2 DR FRIDGE (512L),1397.0,1610.0,13.23,213.0,SHARP,Refrigerator,fridge
FISHER & PAYKEL 90CM WALL RANGEHOOD BOX CHIMNEY HC90DCXB3 (STAINLESS STEEL AND GLASS) - EXCLUDE INSTALLATION,1500.0,1514.0,0.92,14.0,FISHER,Other,Other
WHIRLPOOL FWMD10502GW FRONT LOAD WASHER (10.5KG),1406.0,1519.0,7.44,113.0,WHIRLPOOL,Washing Machine,washer
LG GT-M5093BL 2 DR FRIDGE (506L) - BLACK STEEL,1468.0,1927.0,23.82,459.0,LG,Refrigerator,fridge
PHILIPS 65PQT8169/98 65 IN 4K QLED GOOGLE TV,1398.0,1569.0,10.9,171.0,PHILIPS,TV,tv
MITSUBISHI MR-CGX46EX-GBR-P 3 DOOR REFRIGERATOR (361L) GLASS BROWN,1575.0,1719.0,8.38,144.0,MITSUBISHI,Refrigerator,refrigerator
BOSCH 9KG HEAT PUMP TUMBLE DRYER SRIES 6 WQG24200SG,1595.0,2699.0,40.9,1104.0,BOSCH,Washing Machine,dryer
